word,phonetic,part_of_speech,definition_cn,example_sentence,example_translation,root,high_freq_def
abandon,əˈbændən,v.,放弃；抛弃,He abandoned his car in the snow.,他在雪地里抛弃了他的车。,ban,放弃
ability,əˈbɪləti,n.,能力；才能,She has the ability to solve complex problems.,她有解决复杂问题的能力。,,能力
absolute,ˈæbsəluːt,adj.,绝对的；完全的,There is no absolute standard of beauty.,没有绝对的美的标准。,,绝对的
absorb,əbˈzɔːrb,v.,吸收；吸引,Plants absorb carbon dioxide from the air.,植物从空气中吸收二氧化碳。,,吸收
abstract,ˈæbstrækt,adj./n.,抽象的；摘要,The concept is too abstract for children.,这个概念对孩子来说太抽象了。,,抽象的
abundant,əˈbʌndənt,adj.,丰富的；充裕的,The region has abundant natural resources.,该地区有丰富的自然资源。,,丰富的
academic,ˌækəˈdemɪk,adj.,学术的；学院的,He has a strong academic background.,他有很强的学术背景。,,学术的
accept,əkˈsept,v.,接受；认可,She accepted the job offer.,她接受了这份工作邀请。,,接受
access,ˈækses,n./v.,进入；使用,Students have access to the library.,学生可以使用图书馆。,,进入
accomplish,əˈkɑːmplɪʃ,v.,完成；实现,She accomplished her goal of running a marathon.,她完成了跑马拉松的目标。,,完成
accurate,ˈækjərət,adj.,准确的；精确的,The measurements were accurate to within 0.1mm.,测量精度达到0.1毫米以内。,,准确的
achieve,əˈtʃiːv,v.,达到；实现,He achieved great success in his career.,他在事业上取得了巨大成功。,,实现
acknowledge,əkˈnɑːlɪdʒ,v.,承认；致谢,They acknowledged their mistakes.,他们承认了自己的错误。,,承认
acquire,əˈkwaɪər,v.,获得；学到,She acquired new skills through training.,她通过培训获得了新技能。,,获得
